iter	Passed	Remaining
0	635	634986
1	1134	566148
2	1719	571353
3	2355	586465
4	3000	597010
5	3645	603978
6	4370	619989
7	5081	630106
8	5827	641647
9	6589	652317
10	7399	665286
11	8209	675938
12	9004	683652
13	9794	689813
14	10627	697863
15	11408	701633
16	12242	707906
17	13086	713943
18	13948	720161
19	14804	725426
20	15650	729591
21	16546	735563
22	17378	738223
23	18228	741281
24	19071	743795
25	19914	746025
26	20792	749294
27	21601	749892
28	22457	751947
29	23295	753215
30	24127	754192
31	25028	757114
32	25862	757842
33	26714	759000
34	27568	760101
35	28387	760148
36	29244	761139
37	30069	761232
38	30949	762630
39	31759	762226
40	32633	763307
41	33452	763035
42	34291	763179
43	35120	763082
44	35923	762376
45	36784	762885
46	37669	763800
47	38542	764435
48	39365	764014
49	40197	763752
50	41034	763564
51	41905	763967
52	42764	764107
53	43594	763718
54	44462	763949
55	45293	763511
56	46127	763134
57	46992	763219
58	47856	763274
59	48731	763458
60	49565	762978
61	50386	762304
62	51239	762081
63	52088	761797
64	52932	761410
65	53813	761546
66	54655	761102
67	55479	760393
68	56333	760092
69	57158	759395
70	57967	758481
71	58834	758310
72	59707	758204
73	60557	757785
74	61394	757203
75	62235	756652
76	63065	755969
77	63904	755381
78	64741	754769
79	65600	754409
80	66480	754267
81	67292	753346
82	68130	752720
83	68949	751872
84	69805	751432
85	70636	750722
86	71526	750622
87	72382	750146
88	73215	749425
89	74128	749526
90	74975	748931
91	75799	748111
92	76673	747777
93	77529	747256
94	78377	746644
95	79227	746056
96	80052	745232
97	80886	744490
98	81743	743951
99	82570	743138
100	83384	742208
101	84225	741512
102	85052	740702
103	85868	739792
104	86693	738955
105	87570	738562
106	88423	737960
107	89271	737314
108	90069	736252
109	90891	735396
110	91740	734747
111	92625	734386
112	93463	733646
113	94336	733172
114	95173	732422
115	96033	731845
116	96901	731318
117	97744	730599
118	98617	730097
119	99481	729532
120	100303	728649
121	101147	727927
122	101973	727079
123	102814	726334
124	103665	725655
125	104497	724849
126	105375	724352
127	106224	723652
128	107028	722652
129	107847	721750
130	108670	720876
131	109438	719638
132	110276	718872
133	111104	718034
134	111940	717250
135	112790	716552
136	113635	715822
137	114484	715110
138	115344	714472
139	116177	713660
140	117001	712794
141	117822	711916
142	118654	711096
143	119509	710419
144	120355	709681
145	121221	709061
146	122059	708275
147	122918	707610
148	123763	706865
149	124594	706033
150	125430	705236
151	126264	704423
152	127101	703629
153	127969	703001
154	128796	702149
155	129610	701227
156	130405	700200
157	131251	699451
158	132087	698653
159	132921	697836
160	133774	697123
161	134638	696462
162	135505	695818
163	136318	694890
164	137163	694129
165	138026	693457
166	138849	692586
167	139677	691734
168	140510	690914
169	141398	690358
170	142243	689590
171	143103	688893
172	143973	688243
173	144864	687690
174	145723	686981
175	146572	686225
176	147440	685554
177	148304	684865
178	149167	684169
179	150034	683491
180	150886	682739
181	151743	682009
182	152595	681258
183	153479	680647
184	154332	679899
185	155204	679227
186	156043	678414
187	156880	677591
188	157759	676946
189	158645	676332
190	159502	675591
191	160310	674641
192	161199	674029
193	162062	673312
194	162944	672667
195	163806	671942
196	164643	671110
197	165500	670362
198	166377	669691
199	167232	668931
200	168068	668093
201	168916	667305
202	169810	666693
203	170681	665991
204	171539	665238
205	172375	664396
206	173217	663580
207	174070	662807
208	174885	661887
209	175728	661072
210	176529	660105
211	177410	659432
212	178267	658668
213	179081	657746
214	179938	656983
215	180807	656264
216	181609	655301
217	182484	654598
218	183306	653707
219	184134	652841
220	184984	652049
221	185843	651290
222	186667	650407
223	187517	649614
224	188376	648851
225	189191	647939
226	190029	647104
227	190861	646250
228	191708	645445
229	192541	644596
230	193391	643801
231	194270	643101
232	195123	642315
233	195999	641604
234	196878	640901
235	197699	640011
236	198540	639183
237	199387	638374
238	200246	637605
239	201090	636786
240	201974	636094
241	202847	635365
242	203703	634583
243	204597	633917
244	205491	633249
245	206336	632430
246	207223	631739
247	208057	630885
248	208949	630205
249	209800	629400
250	210631	628536
251	211530	627877
252	212362	627014
253	213214	626212
254	214049	625360
255	214913	624593
256	215815	623934
257	216657	623101
258	217525	622341
259	218345	621444
260	219185	620605
261	220049	619833
262	220938	619132
263	221828	618430
264	222669	617594
265	223539	616833
266	224330	615858
267	225195	615086
268	226051	614287
269	226897	613464
270	227789	612763
271	228671	612031
272	229521	611217
273	230393	610459
274	231235	609621
275	232089	608813
276	232932	607979
277	233809	607231
278	234662	606421
279	235500	605572
280	236342	604734
281	237219	603985
282	238081	603195
283	238932	602379
284	239787	601573
285	240646	600774
286	241514	600000
287	242373	599202
288	243231	598399
289	244076	597565
290	244944	596788
291	245813	596012
292	246673	595214
293	247576	594520
294	248418	593678
295	249281	592886
296	250154	592117
297	251032	591357
298	251922	590627
299	252799	589865
300	253678	589106
301	254509	588236
302	255398	587501
303	256228	586627
304	257064	585769
305	257934	584989
306	258815	584232
307	259689	583458
308	260539	582630
309	261430	581892
310	262278	581060
311	263134	580246
312	264007	579466
313	264890	578710
314	265750	577901
315	266623	577121
316	267453	576247
317	268324	575463
318	269165	574614
319	270046	573847
320	270896	573018
321	271724	572140
322	272577	571315
323	273437	570505
324	274253	569602
325	275108	568782
326	275959	567952
327	276842	567189
328	277722	566418
329	278553	565547
330	279404	564717
331	280264	563905
332	281117	563078
333	281937	562186
334	282783	561347
335	283647	560541
336	284477	559669
337	285301	558786
338	286170	557989
339	287013	557144
340	287863	556310
341	288682	555417
342	289549	554618
343	290369	553727
344	291215	552888
345	292091	552104
346	292931	551252
347	293781	550418
348	294650	549619
349	295515	548815
350	296360	547971
351	297191	547102
352	298044	546273
353	298916	545479
354	299774	544660
355	300653	543879
356	301501	543041
357	302377	542251
358	303212	541389
359	304078	540584
360	304934	539759
361	305778	538913
362	306625	538073
363	307433	537164
364	308294	536348
365	309160	535540
366	309988	534666
367	310864	533875
368	311709	533032
369	312555	532188
370	313428	531392
371	314294	530583
372	315155	529765
373	315995	528912
374	316864	528107
375	317743	527319
376	318565	526436
377	319416	525601
378	320218	524684
379	321075	523860
380	321889	522964
381	322744	522137
382	323584	521282
383	324427	520435
384	325265	519579
385	326121	518752
386	326967	517910
387	327801	517048
388	328653	516213
389	329500	515372
390	330326	514498
391	331176	513661
392	332029	512829
393	332864	511969
394	333720	511140
395	334560	510288
396	335405	509444
397	336246	508594
398	337098	507759
399	337961	506941
400	338799	506086
401	339693	505315
402	340577	504528
403	341423	503684
404	342258	502824
405	343123	502007
406	344010	501223
407	344879	500413
408	345743	499594
409	346594	498757
410	347475	497963
411	348315	497110
412	349170	496278
413	350020	495439
414	350869	494599
415	351706	493742
416	352557	492903
417	353388	492038
418	354276	491251
419	355139	490430
420	355981	489580
421	356841	488754
422	357658	487869
423	358471	486979
424	359366	486201
425	360204	485345
426	361061	484515
427	361920	483687
428	362755	482828
429	363599	481980
430	364468	481166
431	365357	480377
432	366167	479484
433	367007	478631
434	367868	477806
435	368745	477001
436	369581	476142
437	370443	475318
438	371296	474481
439	372121	473609
440	372984	472785
441	373855	471970
442	374717	471145
443	375584	470326
444	376471	469532
445	377331	468702
446	378182	467863
447	379032	467022
448	379894	466195
449	380763	465377
450	381658	464590
451	382476	463709
452	383345	462891
453	384181	462033
454	385005	461160
455	385832	460291
456	386637	459397
457	387486	458553
458	388348	457726
459	389204	456892
460	390062	456059
461	390927	455236
462	391780	454397
463	392647	453576
464	393519	452759
465	394394	451945
466	395226	451083
467	396067	450230
468	396905	449375
469	397772	448552
470	398566	447647
471	399440	446831
472	400275	445973
473	401136	445142
474	401987	444301
475	402797	443415
476	403624	442548
477	404471	441703
478	405291	440828
479	406098	439939
480	406959	439110
481	407817	438276
482	408676	437444
483	409583	436663
484	410418	435804
485	411269	434963
486	412162	434166
487	413022	433334
488	413873	432493
489	414721	431648
490	415523	430756
491	416381	429922
492	417244	429093
493	418113	428270
494	418993	427458
495	419869	426641
496	420712	425791
497	421560	424946
498	422395	424088
499	423237	423237
500	424088	422395
501	424937	421551
502	425805	420725
503	426636	419864
504	427518	419052
505	428360	418201
506	429178	417327
507	430050	416505
508	430915	415677
509	431727	414797
510	432603	413978
511	433452	413134
512	434314	412302
513	435177	411470
514	436043	410642
515	436921	409825
516	437784	408994
517	438635	408150
518	439489	407310
519	440319	406448
520	441178	405613
521	442006	404749
522	442860	403908
523	443698	403054
524	444582	402241
525	445415	401382
526	446272	400544
527	447145	399720
528	447995	398876
529	448837	398025
530	449696	397189
531	450545	396344
532	451374	395481
533	452213	394628
534	453051	393773
535	453864	392897
536	454720	392058
537	455576	391219
538	456424	390374
539	457278	389533
540	458114	388677
541	458986	387852
542	459832	387004
543	460690	386167
544	461544	385325
545	462409	384494
546	463279	383666
547	464110	382806
548	464959	381961
549	465790	381101
550	466609	380231
551	467456	379384
552	468302	378537
553	469266	377784
554	470118	376942
555	470995	376118
556	471863	375288
557	472719	374448
558	473571	373604
559	474429	372766
560	475297	371934
561	476202	371132
562	477100	370324
563	477972	369496
564	478872	368689
565	479723	367844
566	480595	367015
567	481443	366168
568	482258	365296
569	483114	364454
570	483963	363608
571	484807	362758
572	485672	361923
573	486523	361078
574	487396	360249
575	488208	359375
576	489058	358530
577	489908	357684
578	490743	356827
579	491606	355990
580	492439	355132
581	493298	354293
582	494131	353435
583	494973	352583
584	495799	351721
585	496641	350869
586	497476	350013
587	498279	349134
588	499130	348289
589	500010	347464
590	500846	346609
591	501701	345767
592	502562	344929
593	503446	344106
594	504305	343267
595	505183	342440
596	506017	341583
597	506790	340685
598	507639	339838
599	508495	338996
600	509305	338124
601	510151	337276
602	511027	336447
603	511889	335609
604	512760	334777
605	513630	333944
606	514470	333092
607	515319	332245
608	516185	331409
609	517017	330552
610	517833	329684
611	518667	328828
612	519498	327970
613	520381	327145
614	521216	326290
615	522081	325453
616	522932	324608
617	523778	323759
618	524574	322880
619	525414	322028
620	526236	321165
621	527095	320325
622	527956	319485
623	528798	318634
624	529646	317788
625	530489	316938
626	531323	316082
627	532173	315236
628	533019	314388
629	533860	313536
630	534678	312672
631	535510	311816
632	536355	310967
633	537226	310134
634	538034	309264
635	538877	308413
636	539735	307572
637	540592	306731
638	541437	305882
639	542288	305037
640	543130	304187
641	543993	303348
642	544839	302500
643	545644	301629
644	546506	300790
645	547327	299928
646	548208	299099
647	549054	298251
648	549848	297375
649	550648	296503
650	551501	295658
651	552328	294801
652	553171	293951
653	554036	293114
654	554893	292272
655	555722	291415
656	556594	290581
657	557446	289736
658	558284	288884
659	559127	288035
660	559966	287183
661	560806	286333
662	561681	285500
663	562555	284666
664	563437	283837
665	564283	282989
666	565107	282130
667	565960	281285
668	566815	280442
669	567678	279602
670	568545	278765
671	569401	277922
672	570237	277069
673	571094	276226
674	571954	275385
675	572762	274519
676	573595	273665
677	574447	272820
678	575289	271970
679	576122	271116
680	576940	270255
681	577791	269410
682	578637	268562
683	579493	267719
684	580295	266851
685	581133	265999
686	581974	265149
687	582806	264295
688	583597	263423
689	584435	262572
690	585283	261725
691	586137	260881
692	586980	260033
693	587829	259186
694	588651	258328
695	589492	257479
696	590323	256625
697	591179	255782
698	592012	254929
699	592871	254087
700	593708	253236
701	594526	252377
702	595332	251513
703	596173	250664
704	597053	249830
705	597921	248992
706	598749	248138
707	599599	247292
708	600455	246449
709	601292	245598
710	602147	244754
711	602988	243905
712	603854	243066
713	604705	242220
714	605556	241375
715	606361	240511
716	607229	239673
717	608057	238819
718	608900	237970
719	609755	237127
720	610595	236277
721	611445	235431
722	612289	234583
723	613115	233729
724	613975	232887
725	614798	232031
726	615616	231173
727	616453	230323
728	617316	229482
729	618179	228641
730	619042	227800
731	619901	226958
732	620716	226100
733	621586	225261
734	622418	224409
735	623249	223557
736	624075	222702
737	624939	221862
738	625796	221018
739	626614	220161
740	627455	219312
741	628297	218464
742	629138	217616
743	629968	216763
744	630834	215923
745	631703	215084
746	632563	214241
747	633441	213405
748	634296	212561
749	635129	211709
750	635983	210865
751	636816	210014
752	637647	209161
753	638480	208310
754	639362	207475
755	640223	206632
756	641095	205794
757	641938	204946
758	642806	204105
759	643653	203259
760	644508	202414
761	645361	201569
762	646192	200717
763	647041	199871
764	647864	199017
765	648679	198160
766	649519	197311
767	650395	196473
768	651217	195619
769	652089	194779
770	652920	193928
771	653771	193082
772	654615	192235
773	655439	191381
774	656300	190538
775	657120	189684
776	657977	188840
777	658835	187996
778	659649	187140
779	660490	186292
780	661355	185450
781	662190	184600
782	663023	183749
783	663857	182899
784	664714	182055
785	665553	181206
786	666386	180356
787	667223	179506
788	668078	178662
789	668940	177819
790	669804	176977
791	670670	176135
792	671485	175280
793	672322	174431
794	673189	173589
795	674024	172739
796	674876	171894
797	675731	171049
798	676572	170201
799	677370	169342
800	678222	168497
801	679085	167654
802	679928	166806
803	680763	165957
804	681603	165108
805	682467	164266
806	683317	163420
807	684131	162565
808	684968	161716
809	685822	160872
810	686682	160028
811	687543	159184
812	688388	158337
813	689241	157492
814	690080	156643
815	690921	155796
816	691791	154954
817	692642	154108
818	693489	153262
819	694345	152417
820	695234	151579
821	696066	150729
822	696898	149879
823	697749	149033
824	698600	148188
825	699455	147342
826	700276	146490
827	701127	145644
828	701988	144801
829	702843	143955
830	703679	143106
831	704541	142263
832	705379	141414
833	706209	140564
834	707006	139707
835	707862	138862
836	708693	138013
837	709574	137173
838	710393	136320
839	711182	135463
840	712039	134618
841	712869	133768
842	713720	132922
843	714564	132075
844	715403	131227
845	716246	130380
846	717110	129537
847	717955	128690
848	718758	127835
849	719551	126979
850	720421	126137
851	721292	125294
852	722138	124448
853	723000	123604
854	723840	122756
855	724697	121911
856	725500	121057
857	726339	120209
858	727185	119363
859	728064	118522
860	728908	117675
861	729740	116826
862	730593	115980
863	731397	115127
864	732232	114279
865	733074	113431
866	733917	112584
867	734766	111738
868	735595	110889
869	736452	110044
870	737297	109197
871	738156	108353
872	739000	107506
873	739872	106663
874	740697	105813
875	741542	104967
876	742320	104111
877	743142	103261
878	743984	102414
879	744846	101569
880	745699	100724
881	746528	99875
882	747377	99029
883	748238	98185
884	749093	97339
885	749937	96493
886	750804	95649
887	751657	94803
888	752545	93962
889	753386	93115
890	754275	92273
891	755153	91431
892	756031	90588
893	756896	89743
894	757748	88897
895	758605	88052
896	759449	87205
897	760316	86361
898	761164	85514
899	762005	84667
900	762843	83819
901	763679	82971
902	764496	82122
903	765344	81275
904	766167	80426
905	767024	79580
906	767866	78733
907	768684	77884
908	769531	77037
909	770348	76188
910	771208	75343
911	772091	74500
912	772926	73652
913	773776	72806
914	774644	71961
915	775495	71115
916	776370	70271
917	777228	69425
918	778116	68582
919	778956	67735
920	779822	66890
921	780629	66040
922	781516	65196
923	782337	64348
924	783207	63503
925	784008	62652
926	784891	61809
927	785745	60962
928	786551	60113
929	787408	59267
930	788235	58419
931	789097	57573
932	789953	56727
933	790814	55881
934	791643	55034
935	792489	54187
936	793320	53339
937	794193	52494
938	795038	51647
939	795893	50801
940	796758	49956
941	797629	49110
942	798455	48262
943	799288	47415
944	800140	46569
945	800987	45722
946	801847	44876
947	802697	44029
948	803515	43181
949	804360	42334
950	805194	41487
951	806042	40640
952	806918	39795
953	807806	38950
954	808651	38103
955	809483	37256
956	810336	36410
957	811219	35564
958	812058	34717
959	812906	33871
960	813763	33024
961	814564	32176
962	815418	31329
963	816259	30482
964	817126	29636
965	817986	28790
966	818836	27943
967	819668	27096
968	820497	26249
969	821351	25402
970	822221	24556
971	823061	23709
972	823899	22862
973	824758	22016
974	825593	21169
975	826439	20322
976	827297	19475
977	828130	18628
978	828976	17781
979	829838	16935
980	830690	16088
981	831527	15241
982	832373	14395
983	833222	13548
984	834076	12701
985	834931	11855
986	835775	11008
987	836634	10161
988	837497	9314
989	838351	8468
990	839194	7621
991	840018	6774
992	840882	5927
993	841700	5080
994	842545	4233
995	843417	3387
996	844255	2540
997	845135	1693
998	845960	846
999	846761	0
