iter	PRAUC	Logloss
0	0.1646408652	0.4201579631
1	0.1651142008	0.3539647944
2	0.169659823	0.3315309884
3	0.1707351901	0.3253549339
4	0.1725368366	0.3221210222
5	0.173821974	0.3208249789
6	0.1744577869	0.3202108399
7	0.174784266	0.3195950061
8	0.175282938	0.3193483689
9	0.175503481	0.3191633842
10	0.1759635261	0.3189425432
11	0.1765355953	0.3185721992
12	0.1768155676	0.3184218071
13	0.1771587295	0.3183369776
14	0.1773402666	0.3181299404
15	0.1778217958	0.3180050599
16	0.1780122031	0.3179065327
17	0.1781591095	0.3177836211
18	0.178281407	0.31769846
19	0.1784390192	0.3174912895
20	0.1787104815	0.3174255227
21	0.1788070709	0.317337088
22	0.178960207	0.3172773128
23	0.1791050599	0.3171430847
24	0.1792059366	0.3170691341
25	0.1793676842	0.3170196196
26	0.1795980144	0.3169094238
27	0.1797036921	0.3168846454
28	0.1798268439	0.316857477
29	0.179910247	0.3167728077
30	0.1799750383	0.3167061451
31	0.1801418766	0.3166504172
32	0.180342869	0.3166163814
33	0.1803929167	0.3165117537
34	0.1804696241	0.3164710338
35	0.1805638117	0.3164443086
36	0.1806087037	0.3164070536
37	0.1806896417	0.3163372193
38	0.1808257187	0.3162927036
39	0.1809909968	0.3162623752
40	0.1811319332	0.3161911193
41	0.1812994263	0.3161670645
42	0.1813814906	0.3160438327
43	0.1814363398	0.3159863964
44	0.1814573306	0.3159723263
45	0.1815441159	0.3159611957
46	0.1816037264	0.3159305292
47	0.1816781071	0.3159077611
48	0.1817946847	0.3158728405
49	0.1818871889	0.3158405913
50	0.1819357822	0.3158197812
51	0.1819727477	0.315775276
52	0.1820306226	0.3157456229
53	0.1820652036	0.3157225242
54	0.1821396066	0.3156963809
55	0.1822472372	0.3156656921
56	0.1823941872	0.3156552144
57	0.1827183299	0.315512298
58	0.1827730488	0.3154947894
59	0.1828235697	0.3154392937
60	0.1829284492	0.3154319979
61	0.1830031447	0.3154134551
62	0.1830789758	0.3153982222
63	0.1831951492	0.3153496343
64	0.1832983447	0.3153411476
65	0.1833595143	0.3153318154
66	0.183400425	0.3153233464
67	0.1835230202	0.3152961764
68	0.1835866031	0.3152882635
69	0.1836259758	0.3152818764
70	0.1837105685	0.3152720372
71	0.1838043995	0.3152566408
72	0.1838971074	0.3151913286
73	0.1840196857	0.3151533653
74	0.184072661	0.3151274994
75	0.1841116463	0.3150786631
76	0.1841802023	0.3150659636
77	0.1842188171	0.315046735
78	0.1842760147	0.3150054338
79	0.1843915731	0.3149344462
80	0.1844535939	0.3149217919
81	0.1844820714	0.3148902742
82	0.1845211899	0.3148791786
83	0.1845865501	0.3148658587
84	0.1846409586	0.3148603068
85	0.1846814391	0.3148520494
86	0.1847444046	0.3148445795
87	0.1848129263	0.3148395008
88	0.1848655079	0.3148301005
89	0.184907001	0.3148120495
90	0.1849754958	0.3148067636
91	0.1850102712	0.3147746453
92	0.1850615906	0.3147570492
